vehicle,time,event,px,py,pz,speed,desiredSpeed,maxSpeed,lane,pathId,intersectionId,distTravelled,pathLength,pathPct,decision,probability,motionState,signalState,maneuverState,isBlocked,isStuck,isInQueue,routeTrace
Car_4(Clone)_8025,22.59,FRAME,274.65,-0.03,-8.75,8.49,8.51,8.51,Lane_way e_0,Path_way e_0,way e,65.34,316.79,0.206,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_3(Clone)_8018,22.59,FRAME,5.25,-0.01,325.07,8.95,9.45,9.45,Lane_way n_1,Path_way n_1,way n,14.92,316.79,0.047,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_2(Clone)_4302,22.59,FRAME,-1.75,0.02,-339.64,1.32,12.17,12.17,Lane_way s_3,Path_way s_3,way s,0.35,316.79,0.001,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Taxi(Clone)_5327,22.62,FRAME,1.75,0.00,95.48,14.84,14.92,15.28,Lane_way n_2,Path_way n_2,way n,244.51,316.79,0.772,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way n_2
Car_3(Clone)_1086,22.62,FRAME,-185.14,-0.01,5.25,13.29,13.35,14.66,Lane_way w_4,Path_way w_4,way w,154.85,316.79,0.489,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way w_4
Car_6(Clone)_8350,22.62,COLLISION_RISK,,,,,,,,MiniBus_Ambulance(Clone)_4009,rear_left,,,,dist=22.5 closing=5.7,,,,,,,,START
Car_6(Clone)_8350,22.62,FRAME,-295.82,0.02,5.25,7.43,7.45,7.45,Lane_way w_4,Path_way w_4,way w,44.17,316.79,0.139,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_9(Clone)_2269,22.62,FRAME,-8.75,0.02,-339.97,0.17,11.65,11.65,Lane_way s_5,Path_way s_5,way s,0.02,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Jeep_2(Clone)_9985,22.63,FRAME,-5.25,0.01,-100.49,12.78,12.88,15.34,Lane_way s_4,Path_way s_4,way s,239.50,316.79,0.756,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_4
Car_7(Clone)_9820,22.63,FRAME,-5.25,0.00,-119.74,12.53,15.82,19.44,Lane_way s_4,Path_way s_4,way s,220.25,316.79,0.695,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_4
Police_2(Clone)_7766,22.63,FRAME,262.71,0.00,-5.25,9.95,9.99,9.99,Lane_way e_1,Path_way e_1,way e,77.28,316.79,0.244,,,Cruising,Approaching,LaneKeeping,0,0,0,START
MiniBus_Ambulance(Clone)_2333,22.63,FRAME,286.68,0.00,-1.76,12.23,12.29,12.29,Lane_way e_2,Path_way e_2,way e,53.31,316.79,0.168,,,Cruising,Approaching,LaneChangeRight,0,0,0,START>LC:Lane_way e_2
Police_2(Clone)_9688,22.63,FRAME,-5.25,0.00,-327.66,11.69,12.78,13.80,Lane_way s_4,Path_way s_4,way s,12.33,316.79,0.039,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_9(Clone)_7049,22.66,FRAME,-8.75,0.01,-150.21,10.96,11.00,11.00,Lane_way s_5,Path_way s_5,way s,189.78,316.79,0.599,,,Cruising,Approaching,LaneKeeping,0,0,0,START>LC:Lane_way s_5
Car_1(Clone)_2187,22.66,FRAME,-339.99,-0.27,1.75,0.00,13.12,14.48,Lane_way w_3,Path_way w_3,way w,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_1(Clone)_4817,22.66,FRAME,8.75,-0.27,339.99,0.00,13.52,15.83,Lane_way n_0,Path_way n_0,way n,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Taxi(Clone)_3623,22.66,FRAME,5.25,0.01,281.09,8.46,8.49,8.49,Lane_way n_1,Path_way n_1,way n,58.90,316.79,0.186,,,Cruising,Approaching,LaneKeeping,0,0,0,START
